                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0267,                 1.8342,                 1.1457,                0.81652,                0.75533,                0.84171,                0.61547,                0.97587,                 1.5385,                 1.1766,              0.0004736,              0.0004736,              0.0004736
                      2,                 1.0627,                 1.3722,                 1.1763,                0.80285,                 0.6776,                0.77873,                0.54594,                 1.1025,                 1.5245,                 1.2899,             0.00094052,             0.00094052,             0.00094052
                      3,                 1.0823,                 1.2427,                 1.1865,                0.80141,                 0.8025,                0.83979,                0.58629,                 1.0464,                 1.1928,                 1.2108,               0.001398,               0.001398,               0.001398
                      4,                 1.1003,                 1.1729,                 1.2005,                0.81727,                0.81135,                0.85544,                0.62824,                0.97298,                 1.0014,                 1.1424,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.0595,                 1.1078,                 1.1854,                0.81375,                0.82604,                0.85767,                 0.6285,                0.96257,                0.94634,                 1.1473,              0.0013866,              0.0013866,              0.0013866
                      6,                  1.021,                 1.0402,                  1.162,                 0.8068,                 0.8364,                0.86953,                0.65019,                0.91332,                0.94622,                 1.1193,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.0128,                0.99815,                 1.1515,                0.85965,                0.80508,                0.88253,                0.66089,                0.91674,                0.92696,                 1.1148,              0.0013583,              0.0013583,              0.0013583
                      8,                0.97909,                0.94568,                 1.1363,                0.83751,                0.79502,                0.88574,                0.66649,                0.90708,                0.84909,                  1.107,              0.0013441,              0.0013441,              0.0013441
                      9,                0.96426,                0.92607,                 1.1253,                0.82562,                0.83047,                0.88043,                0.67879,                0.86723,                0.78841,                 1.0863,                0.00133,                0.00133,                0.00133
                     10,                0.95287,                0.90184,                 1.1193,                0.82735,                0.83542,                0.88816,                0.67945,                 0.8779,                0.78902,                 1.1119,              0.0013158,              0.0013158,              0.0013158
                     11,                0.93511,                0.87647,                 1.1096,                0.83008,                0.87146,                0.90651,                0.70357,                0.84762,                0.73759,                 1.0802,              0.0013017,              0.0013017,              0.0013017
                     12,                0.93115,                0.87324,                 1.1102,                0.86015,                0.86339,                0.91939,                0.70777,                0.85385,                 0.7537,                 1.0789,              0.0012875,              0.0012875,              0.0012875
                     13,                0.92518,                0.85209,                 1.1115,                0.84015,                0.85166,                0.90264,                0.70038,                0.85337,                0.74524,                 1.0848,              0.0012734,              0.0012734,              0.0012734
                     14,                0.92347,                0.84266,                 1.1063,                 0.8701,                0.86903,                0.92113,                0.72622,                0.81093,                0.67404,                 1.0572,              0.0012592,              0.0012592,              0.0012592
                     15,                0.89969,                0.81437,                 1.0942,                 0.8605,                0.88594,                0.92569,                0.73308,                0.79674,                0.65425,                 1.0366,              0.0012451,              0.0012451,              0.0012451
                     16,                0.89255,                0.81581,                 1.0896,                0.87616,                0.89035,                0.92345,                0.73643,                0.77652,                0.66759,                 1.0307,              0.0012309,              0.0012309,              0.0012309
                     17,                 0.8854,                0.79698,                 1.0867,                0.87074,                0.87415,                 0.9258,                0.72987,                0.80042,                0.66455,                 1.0457,              0.0012168,              0.0012168,              0.0012168
                     18,                 0.8726,                0.78069,                 1.0783,                0.87817,                0.89137,                0.92959,                0.74129,                0.77314,                0.63395,                 1.0253,              0.0012026,              0.0012026,              0.0012026
                     19,                0.87935,                0.78542,                 1.0845,                 0.8899,                 0.8747,                0.92763,                0.73656,                0.77084,                0.66766,                  1.021,              0.0011885,              0.0011885,              0.0011885
                     20,                0.87579,                 0.7702,                 1.0829,                0.86947,                0.88311,                0.93206,                0.74777,                0.77021,                0.63829,                 1.0324,              0.0011744,              0.0011744,              0.0011744
                     21,                 0.8596,                0.75472,                 1.0696,                0.85119,                0.89116,                0.92605,                0.73754,                0.77762,                0.65164,                  1.028,              0.0011602,              0.0011602,              0.0011602
                     22,                0.85449,                0.74986,                 1.0679,                0.87501,                0.88465,                0.92667,                0.73795,                0.78189,                0.64127,                 1.0285,              0.0011461,              0.0011461,              0.0011461
                     23,                0.86306,                0.74842,                 1.0742,                0.86625,                0.87735,                0.92724,                0.74075,                0.77268,                0.63448,                 1.0333,              0.0011319,              0.0011319,              0.0011319
                     24,                0.84779,                0.73646,                 1.0624,                0.84804,                0.90423,                0.91818,                0.74184,                 0.7518,                0.63833,                 1.0117,              0.0011178,              0.0011178,              0.0011178
                     25,                0.84196,                0.72718,                 1.0607,                0.88173,                0.88427,                0.93751,                0.76031,                0.76373,                0.59873,                 1.0193,              0.0011036,              0.0011036,              0.0011036
                     26,                0.84632,                0.72392,                 1.0614,                0.86578,                0.90893,                0.93687,                0.75491,                0.75136,                0.59579,                 1.0096,              0.0010895,              0.0010895,              0.0010895
                     27,                0.83314,                0.70856,                 1.0609,                0.87198,                 0.8785,                0.92682,                0.75175,                0.73393,                0.60355,                 1.0049,              0.0010753,              0.0010753,              0.0010753
                     28,                0.82371,                0.70686,                 1.0566,                 0.8961,                0.89574,                0.94278,                0.77017,                 0.7377,                0.56623,                 1.0005,              0.0010612,              0.0010612,              0.0010612
                     29,                0.82648,                0.69626,                 1.0531,                0.85844,                0.89927,                 0.9247,                0.74938,                0.74258,                0.59682,                 1.0061,               0.001047,               0.001047,               0.001047
                     30,                0.81461,                0.69276,                 1.0402,                0.88243,                 0.8993,                0.93391,                 0.7642,                0.73605,                0.59026,                0.99774,              0.0010329,              0.0010329,              0.0010329
                     31,                0.80814,                0.68311,                 1.0428,                0.88377,                0.91823,                0.93809,                0.75943,                0.75785,                0.57617,                 1.0136,              0.0010187,              0.0010187,              0.0010187
